2016-07-16 23:30:10
1468692012.2475648:	216,245,248,230,218,246,243,205,159,15,139,208,150,124,62,0,
1468692016.292556:	234,245,248,230,222,248,246,219,147,17,129,239,104,45,62,0,
1468692020.3281078:	239,247,249,231,222,248,246,219,145,12,129,241,127,57,78,0,
1468692024.3567173:	237,244,247,229,217,244,243,218,146,14,129,237,146,78,109,0,
1468692028.388891:	237,245,248,230,219,246,244,218,146,13,127,239,98,93,74,0,
1468692032.4126327:	237,244,247,230,217,245,243,218,146,15,130,229,138,65,116,0,
1468692036.4533632:	236,244,247,230,217,244,242,217,147,12,129,231,102,101,69,0,
1468692040.4724703:	239,246,248,230,221,247,244,219,145,14,130,239,136,65,117,0,
1468692044.5176823:	237,244,247,229,217,244,242,217,147,12,127,233,106,104,67,0,
